size,price
100.0,1150.0
102.0,760.0
63.0,519.0
30.0,278.2
55.0,400.0
45.0,285.5
96.0,673.515
55.0,530.0
91.0,590.0
63.0,470.0
40.0,450.0
30.0,305.0
30.0,350.0
126.0,880.0
157.0,1414.512
276.0,2300.0
87.0,740.0
67.0,445.0
74.0,379.0
47.0,650.0
62.0,350.0
37.0,410.0
753.0,16600.0
645.0,1500.0
108.0,450.0
65.0,630.0
163.0,1200.0
67.0,525.0
62.0,300.0
54.0,540.0
70.0,325.0
994.0,11812.0
47.0,189.0
253.0,4250.0
120.0,960.0
40.0,417.3
84.0,742.0
26.0,240.0
91.0,1360.0
41.0,390.0
65.0,260.0
205.0,2200.0
30.0,270.0
102.0,950.0
79.0,689.4
55.0,565.0
62.0,485.0
288.0,5393.0
527.0,6257.0
28.0,290.0
86.0,550.0
140.0,1100.0
677.0,11100.0
49.0,499.0
200.0,4300.0
94.0,750.0
32.0,325.0
62.0,760.0
50.0,478.0
39.0,315.0
23.0,356.0
185.0,1780.0
28.0,235.0
181.0,2950.0
210.0,1199.999
30.0,405.0
56.0,262.0
30.0,265.0
139.0,1280.0
37.0,420.0
50.0,350.0
30.0,220.0
680.0,23000.0
31.0,230.0
108.0,924.5
67.0,885.28
70.0,400.0
63.0,490.0
84.0,350.0
300.0,2000.0
65.0,650.0
56.0,780.0
60.0,955.0
176.0,350.0
190.0,1800.0
239.0,3500.0
145.0,640.0
26.0,300.0
132.0,1150.0
68.0,850.0
315.0,600.0
158.0,1800.0
28.0,240.0
176.0,900.0
28.0,350.0
95.0,770.0
43.0,420.0
160.0,850.0
26.0,225.0
379.0,2400.0
74.0,420.0
150.0,320.0
78.0,325.0
29.0,380.0
157.0,552.224
29.0,535.0
30.0,300.0
67.0,530.0
28.0,302.0
504.0,750.0
41.0,535.73
62.0,500.0
14.0,250.0
45.0,450.0
53.0,530.0
51.0,215.0
47.0,420.0
92.0,650.0
54.0,350.0
45.0,495.0
48.0,253.15
77.0,750.0
160.0,1350.0
42.0,520.0
40.0,530.0
35.0,407.7
213.0,1150.0
170.0,1590.0
29.0,256.8
825.0,15360.0
70.0,453.0
171.0,2400.0
134.0,930.0
30.0,235.0
90.0,350.0
75.0,450.0
91.0,390.0
34.0,190.0
110.0,550.0
176.0,1400.0
607.0,6500.0
1.292,16000.0
80.0,730.0
58.0,440.0
29.0,525.0
102.0,950.0
442.0,6900.0
58.0,695.5
50.0,345.0
126.0,1150.0
136.0,1700.0
55.0,330.0
96.0,970.0
142.0,940.0
98.0,770.0
110.0,1150.0
48.0,375.0
115.0,1095.0
68.0,350.0
346.0,1700.0
230.0,1100.0
183.0,650.0
180.0,598.0
231.0,2600.0
28.0,250.0
58.0,525.0
60.0,550.0
68.0,850.0
94.0,540.0
149.0,1150.0
115.0,400.0
125.0,1100.0
139.0,998.0
50.0,440.0
33.0,260.0
29.0,310.0
31.0,290.0
100.0,850.0
136.0,1170.7
54.0,569.9
138.0,990.0
232.0,500.0
80.0,910.0
118.0,535.0
105.0,1317.0
134.0,999.0
27.0,199.0
31.0,363.8
134.0,1470.0
98.0,890.0
210.0,1400.0
190.0,950.0
115.0,1350.0
53.0,307.0
141.0,3900.0
196.0,1650.0
100.0,989.0
61.0,373.0
100.0,720.0
56.0,280.0
330.0,1390.0
300.0,4100.0
40.0,405.0
35.0,430.0
60.0,330.0
120.0,420.0
70.0,543.0
67.0,605.78
540.0,1400.0
27.0,435.0
130.0,1180.0
234.0,980.0
58.0,385.0
28.0,365.0
116.0,675.0
235.0,3100.0
100.0,1090.0
167.0,1750.0
129.0,1380.0
125.0,370.0
125.0,1458.0
55.0,279.0
69.0,500.0
126.0,730.0
28.0,235.0
33.0,250.0
102.0,669.0
121.0,1500.0
77.0,1010.0
33.0,370.0
68.0,650.0
98.0,750.0
76.0,585.0
276.0,2000.0
52.0,212.0
194.0,1600.0
57.0,530.0
107.0,890.0
450.0,2670.0
373.0,4200.0
32.0,380.0
48.0,410.0
1.1,4500.0
58.0,450.0
62.0,567.1
173.0,1560.0
109.0,899.0
96.0,770.0
58.0,599.0
96.0,495.0
35.0,450.0
173.0,1785.2
202.0,640.0
33.0,215.0
57.0,213.0
130.0,1300.0
133.0,1100.0
108.0,657.0
215.0,4700.0
872.0,5232.0
50.0,320.0
210.0,1870.0
4.321,200.0
85.0,399.0
200.0,2200.0
30.0,420.0
64.0,410.0
112.0,1999.0
130.0,777.0
70.0,880.0
90.0,960.0
45.0,480.0
35.0,260.0
95.0,1180.0
140.0,1180.0
257.0,2200.0
520.0,1200.0
306.0,6300.0
820.0,7650.0
65.0,299.0
78.0,600.0
348.0,3100.0
42.0,195.0
120.0,370.0
221.0,1820.0
110.0,460.0
72.0,1040.0
200.0,2000.0
160.0,1500.0
90.0,320.0
256.0,1484.0
600.0,8000.0
160.0,880.0
216.0,3700.0
225.0,2120.0
51.0,550.0
38.0,440.0
71.0,389.0
100.0,870.0
151.0,780.0
36.0,460.0
71.0,270.0
225.0,2575.0
138.0,1300.0
525.0,3850.0
94.0,540.0
40.0,450.0
201.0,2180.0
42.0,265.0
142.0,285.0
102.0,850.0
47.0,370.0
151.0,1600.0
47.0,465.0
120.0,1490.0
56.0,160.0
30.0,234.0
